functionality,owner,capability,design_file,scenario_steps,claim
AcceptPlanningResult,PlanningCoordinator,CurrentBuckingAdvice,BuckingService/Planning.design,PlanCurrentStemAccept;ComputeArchiveAccept,design path only; no execution
ActivateAptDefinition,AptDomain,ValidatedAptDefinitions,BuckingService/AptDomain.design,ActivateAptActivate,design path only; no execution
AdaptBrowserState,BuckingWeb,FederatedBrowserAccess,BuckingWeb/Adaptation.design,InspectMachineAdapt,design path only; no execution
AdvanceP1000Protocol,MachineService,AuthoritativeMachineState,MachineService/Domain.design,RecoverTargetRebuild,design path only; no execution
AdvanceSimulatedPhysics,P1000Simulator,DeterministicTargetSimulation,P1000Simulator/Domain.design,,responsibility specified; no direct scenario call
AppendLabRecord,LabKit,RecordedDiagnosticReplay,Libraries/LabKit.design,ReplayDiagnosticsRecord,design path only; no execution
BufferTargetHistory,P1000Gateway,BoundedPhysicalTransport,P1000Gateway/Domain.design,RecoverTargetAdvertise,design path only; no execution
BuildPresentationSchema,PresentationManager,ReplaceablePresentation,UI/Presentation.design,ImportAptSchema;ReplacePresentationPrepare,design path only; no execution
CalibrateMeasurement,MachineService,AuthoritativeMachineState,MachineService/Domain.design,InspectMachineCalibrate,design path only; no execution
CheckCrossLanguageFixtures,ContractRegistry,ContractCompatibility,Libraries/Contracts.design,,responsibility specified; no direct scenario call
ClassifyUiRouting,UiCommandCoordinator,CorrelatedUiCommands,UI/CommandsDiagnostics.design,UiDiagnosticRoutingClassify,design path only; no execution
CloseUiSession,UiTransportSession,CoherentUiBaseline,UI/Transport.design,ShutdownRunOperatorSession;ShutdownRunSimulatorSession,design path only; no execution
CoalescePresentationPatch,DeliveryScheduler,BoundedUiDelivery,UI/Delivery.design,,responsibility specified; no direct scenario call
CommitUiBaseline,UiTransportSession,CoherentUiBaseline,UI/Transport.design,RecoverUiBaselineCommit,design path only; no execution
ComputeBestArchive,BuckingCore,RankedLegalBucking,Libraries/BuckingCore.design,ComputeArchiveCompute,design path only; no execution
ComputeOneBest,BuckingCore,RankedLegalBucking,Libraries/BuckingCore.design,PlanCurrentStemCompute,design path only; no execution
ConsumeTargetRecord,MachineService,AuthoritativeMachineState,MachineService/Domain.design,InspectMachineReceive;RecoverTargetChoose,design path only; no execution
CorrelateStemSamples,StemProfile,CoherentStemProfile,BuckingService/StemProfile.design,PlanCurrentStemCorrelate,design path only; no execution
CreateCompositionScope,CompositionManager,StableUiContext,UI/Composition.design,ShareUiValueCreate,design path only; no execution
DecodeClassicApt,StanfordClassic,ClassicAptCompatibility,Libraries/StanfordClassic.design,ImportAptDecode,design path only; no execution
DecodeP1000Frames,MachineService,AuthoritativeMachineState,MachineService/Domain.design,InspectMachineDecode;SimulatorWireActionDecode,design path only; no execution
DeliverDurableOutcome,DeliveryScheduler,BoundedUiDelivery,UI/Delivery.design,GlobalStopFlowResult,design path only; no execution
DisplaySimulatorStatus,SimulatorUiDomain,SimulatorInteraction,UI/SimulatorDomain.design,,responsibility specified; no direct scenario call
DisposeCompositionScope,CompositionManager,StableUiContext,UI/Composition.design,ShutdownRunOperatorScope;ShutdownRunSimulatorScope,design path only; no execution
EditAptDraft,AptDomain,ValidatedAptDefinitions,BuckingService/AptDomain.design,EditAptCellValidate,design path only; no execution
EmitBoundUserIntent,RendererAdapter,MaterializedPresentation,UI/Renderer.design,EditAptCellIntent,design path only; no execution
EmitSimulatedWire,P1000Simulator,DeterministicTargetSimulation,P1000Simulator/Domain.design,SimulatorWireActionEmit,design path only; no execution
EncodeClassicApt,StanfordClassic,ClassicAptCompatibility,Libraries/StanfordClassic.design,StoreAptEncode,design path only; no execution
EnumerateLegalLogs,BuckingCore,RankedLegalBucking,Libraries/BuckingCore.design,,responsibility specified; no direct scenario call
